epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,4773.76,0.85101,1.74667,1.29908,0.96002,0.93228,0.97457,0.78805,0.73745,1.26677,1.23995,0.005842,0.005842,0.005842
44,132.649,0.856,1.78975,1.29909,0.94863,0.94949,0.97262,0.78332,0.73416,1.23237,1.23626,0.005743,0.005743,0.005743
45,266.299,0.86141,1.78964,1.30477,0.96241,0.9389,0.97575,0.79035,0.73139,1.22361,1.23028,0.005644,0.005644,0.005644
46,410.432,0.86277,1.78817,1.30292,0.96038,0.9473,0.97867,0.792,0.72656,1.20303,1.22436,0.005545,0.005545,0.005545
47,547.718,0.8519,1.76012,1.29781,0.94888,0.9423,0.97241,0.78779,0.7278,1.21236,1.23298,0.005446,0.005446,0.005446
48,680.079,0.84298,1.7324,1.2924,0.95923,0.94948,0.97333,0.79005,0.72896,1.19903,1.23283,0.005347,0.005347,0.005347
49,812.437,0.84425,1.7114,1.29431,0.95294,0.94391,0.97255,0.78987,0.72302,1.19702,1.22457,0.005248,0.005248,0.005248
50,944.806,0.84721,1.71821,1.29236,0.9355,0.95188,0.96863,0.79282,0.71987,1.21595,1.21798,0.005149,0.005149,0.005149
51,1078.34,0.83414,1.70303,1.28553,0.94579,0.95074,0.97556,0.79387,0.71933,1.18917,1.21591,0.00505,0.00505,0.00505
52,1215.27,0.83578,1.6874,1.28546,0.96155,0.94015,0.97971,0.8047,0.71522,1.17417,1.22162,0.004951,0.004951,0.004951
53,1349.03,0.83458,1.68214,1.2847,0.96238,0.94567,0.97961,0.79807,0.71198,1.168,1.21462,0.004852,0.004852,0.004852
54,1481.44,0.82211,1.65413,1.27628,0.96608,0.94597,0.98045,0.8005,0.71615,1.14206,1.2138,0.004753,0.004753,0.004753
55,1613.99,0.8166,1.64977,1.27429,0.95479,0.94958,0.97755,0.80367,0.70629,1.13181,1.20685,0.004654,0.004654,0.004654
56,1746.59,0.8187,1.65008,1.27543,0.95886,0.94692,0.97883,0.79831,0.71041,1.13416,1.21599,0.004555,0.004555,0.004555
57,1881.42,0.81254,1.63635,1.27214,0.96089,0.95186,0.97897,0.80292,0.71014,1.15196,1.216,0.004456,0.004456,0.004456
58,2013.65,0.80232,1.61222,1.25974,0.95602,0.95064,0.97445,0.79757,0.70579,1.13602,1.21111,0.004357,0.004357,0.004357
59,2145.95,0.80069,1.58915,1.26483,0.96232,0.94538,0.97633,0.80056,0.70759,1.12205,1.21352,0.004258,0.004258,0.004258
60,2278.29,0.80547,1.58861,1.26709,0.96457,0.94494,0.97947,0.80314,0.69602,1.10488,1.20288,0.004159,0.004159,0.004159
61,2410.53,0.79241,1.56359,1.26025,0.95719,0.94773,0.97807,0.80323,0.69647,1.09836,1.20344,0.00406,0.00406,0.00406
62,2545.3,0.79784,1.56712,1.25956,0.95791,0.94966,0.97923,0.80487,0.69726,1.09243,1.20437,0.003961,0.003961,0.003961
63,2678.81,0.78947,1.54713,1.25407,0.9679,0.94725,0.98008,0.80385,0.69617,1.09411,1.20459,0.003862,0.003862,0.003862
64,2811.19,0.78357,1.5197,1.24994,0.96141,0.94696,0.98036,0.80656,0.691,1.08457,1.2006,0.003763,0.003763,0.003763
65,2944.76,0.77697,1.52276,1.24572,0.94812,0.96395,0.98098,0.80567,0.69752,1.08226,1.20698,0.003664,0.003664,0.003664
66,3077.13,0.78576,1.51256,1.24856,0.95479,0.95662,0.98122,0.80602,0.70013,1.08178,1.20909,0.003565,0.003565,0.003565
67,3212.14,0.77345,1.50089,1.24485,0.96981,0.94472,0.98085,0.80663,0.70121,1.07317,1.21218,0.003466,0.003466,0.003466
68,3345.82,0.77617,1.51076,1.24563,0.95451,0.95959,0.97955,0.80851,0.69956,1.06817,1.20736,0.003367,0.003367,0.003367
69,3480.76,0.76827,1.50176,1.23943,0.95336,0.96052,0.97889,0.80628,0.7012,1.07145,1.20895,0.003268,0.003268,0.003268
70,3613.1,0.76823,1.48688,1.23931,0.9515,0.96058,0.98125,0.80585,0.70037,1.06788,1.2111,0.003169,0.003169,0.003169
71,3746.25,0.76134,1.47261,1.23374,0.95423,0.95835,0.97825,0.80088,0.70067,1.0555,1.21263,0.00307,0.00307,0.00307
72,3881.31,0.75505,1.46104,1.22725,0.94535,0.96888,0.97853,0.80688,0.69265,1.06694,1.20658,0.002971,0.002971,0.002971
73,4014.02,0.74918,1.45102,1.22661,0.95019,0.9626,0.97573,0.80691,0.69365,1.06675,1.20876,0.002872,0.002872,0.002872
74,4146.85,0.75326,1.43968,1.22669,0.95037,0.96144,0.97713,0.80578,0.69213,1.06309,1.20624,0.002773,0.002773,0.002773
75,4279.48,0.7557,1.46714,1.23015,0.95146,0.95689,0.97484,0.80666,0.68882,1.05459,1.20033,0.002674,0.002674,0.002674
76,4412.56,0.73996,1.42069,1.21952,0.95574,0.95932,0.97639,0.80512,0.68839,1.0528,1.19682,0.002575,0.002575,0.002575
77,4547.83,0.73367,1.40272,1.21661,0.9546,0.95818,0.97702,0.80567,0.69089,1.05179,1.20191,0.002476,0.002476,0.002476
78,4680.52,0.73835,1.39706,1.21645,0.95985,0.95364,0.97745,0.80779,0.68878,1.05033,1.19948,0.002377,0.002377,0.002377
79,4813.6,0.73505,1.38652,1.21161,0.96271,0.95169,0.98012,0.80879,0.68585,1.04942,1.19804,0.002278,0.002278,0.002278
80,4947.74,0.73084,1.37448,1.21638,0.96343,0.9537,0.9807,0.80986,0.68482,1.04995,1.19971,0.002179,0.002179,0.002179
81,5082.19,0.72886,1.37031,1.21131,0.95821,0.95654,0.97883,0.80855,0.68452,1.05031,1.20041,0.00208,0.00208,0.00208
82,5217.63,0.72891,1.3841,1.21239,0.95827,0.95812,0.97765,0.80796,0.68495,1.05978,1.19991,0.001981,0.001981,0.001981
83,5350.81,0.72254,1.35919,1.20656,0.94861,0.97012,0.97697,0.80693,0.68403,1.05788,1.20101,0.001882,0.001882,0.001882
84,5483.8,0.71788,1.36949,1.21002,0.9491,0.96761,0.97705,0.80869,0.68292,1.05378,1.20087,0.001783,0.001783,0.001783
85,5616.74,0.70846,1.33568,1.19767,0.9499,0.96687,0.97739,0.80921,0.68148,1.0531,1.19904,0.001684,0.001684,0.001684
86,5749.65,0.70598,1.32346,1.19767,0.95873,0.95475,0.97737,0.80955,0.68269,1.04313,1.2,0.001585,0.001585,0.001585
87,5885.02,0.70703,1.33224,1.19723,0.9526,0.96242,0.97741,0.81054,0.68272,1.03861,1.20064,0.001486,0.001486,0.001486
88,6019.24,0.70681,1.32126,1.1955,0.9588,0.9573,0.97892,0.81079,0.68141,1.03509,1.2002,0.001387,0.001387,0.001387
89,6153.29,0.70451,1.30658,1.19358,0.95522,0.95916,0.9793,0.81103,0.68118,1.02905,1.20125,0.001288,0.001288,0.001288
90,6287.9,0.69784,1.28534,1.1916,0.95515,0.95889,0.97999,0.81098,0.68183,1.02608,1.20108,0.001189,0.001189,0.001189
91,6421.51,0.61321,0.95353,1.19335,0.95227,0.96348,0.97829,0.81128,0.682,1.02273,1.20106,0.00109,0.00109,0.00109
92,6557.67,0.59682,0.90746,1.18054,0.9534,0.96258,0.9795,0.81229,0.68157,1.0266,1.20065,0.000991,0.000991,0.000991
93,6690.91,0.58924,0.8921,1.17758,0.95634,0.96124,0.97967,0.81391,0.68121,1.02137,1.20016,0.000892,0.000892,0.000892
94,6824.17,0.58054,0.87587,1.16957,0.95556,0.96168,0.98002,0.81303,0.68102,1.02281,1.20051,0.000793,0.000793,0.000793
95,6956.16,0.57876,0.86808,1.16228,0.95495,0.96302,0.98009,0.81182,0.6798,1.0273,1.19994,0.000694,0.000694,0.000694
96,7088.32,0.56931,0.86349,1.16347,0.95469,0.96247,0.98009,0.8123,0.67909,1.02683,1.2003,0.000595,0.000595,0.000595
97,7222.45,0.56674,0.84979,1.15715,0.9565,0.96033,0.97706,0.81312,0.67794,1.02718,1.19918,0.000496,0.000496,0.000496
98,7354.46,0.55993,0.836,1.15054,0.95581,0.96131,0.97673,0.81243,0.67705,1.02673,1.19768,0.000397,0.000397,0.000397
99,7486.54,0.56369,0.84968,1.15349,0.95184,0.96326,0.97641,0.81256,0.67619,1.03012,1.19687,0.000298,0.000298,0.000298
100,7618.56,0.55817,0.83452,1.14853,0.95334,0.96324,0.97648,0.81208,0.67583,1.03225,1.1966,0.000199,0.000199,0.000199
