epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3385.92,1.00989,2.39531,1.45578,0.95224,0.93671,0.96618,0.72437,0.93544,1.49476,1.357,0.005842,0.005842,0.005842
44,3465.24,1.00884,2.36957,1.45213,0.93612,0.95058,0.96926,0.72654,0.94403,1.49535,1.36775,0.005743,0.005743,0.005743
45,3544.12,1.0052,2.33983,1.44581,0.95269,0.92813,0.97072,0.72743,0.93593,1.49652,1.35406,0.005644,0.005644,0.005644
46,3622.74,1.00339,2.34895,1.44639,0.94186,0.94191,0.96944,0.72901,0.93697,1.49299,1.37051,0.005545,0.005545,0.005545
47,3702.91,1.00223,2.31467,1.44453,0.9447,0.94226,0.97295,0.72606,0.96527,1.52806,1.40718,0.005446,0.005446,0.005446
48,3781.22,1.00057,2.30185,1.44249,0.94873,0.94781,0.97149,0.73559,0.92262,1.48251,1.37002,0.005347,0.005347,0.005347
49,3860.18,0.99254,2.30852,1.43703,0.95569,0.94473,0.97241,0.73631,0.91876,1.42862,1.35945,0.005248,0.005248,0.005248
50,3938.8,0.98018,2.27297,1.42554,0.96418,0.93562,0.97386,0.74368,0.89039,1.40858,1.3302,0.005149,0.005149,0.005149
51,4017.52,0.98552,2.26689,1.43006,0.94671,0.95163,0.97141,0.74,0.90333,1.40228,1.35063,0.00505,0.00505,0.00505
52,4096.86,0.98329,2.25654,1.43078,0.94496,0.94667,0.96912,0.74732,0.88829,1.41404,1.32208,0.004951,0.004951,0.004951
53,4175.65,0.97388,2.21836,1.4218,0.95133,0.94052,0.9662,0.74563,0.882,1.39787,1.31896,0.004852,0.004852,0.004852
54,4254.02,0.97095,2.18086,1.41947,0.94683,0.94231,0.96765,0.74848,0.87628,1.3954,1.3141,0.004753,0.004753,0.004753
55,4332.98,0.97441,2.20036,1.41935,0.9562,0.93391,0.97047,0.74632,0.89013,1.40063,1.32532,0.004654,0.004654,0.004654
56,4411.32,0.96343,2.18103,1.41642,0.94463,0.94574,0.96826,0.7429,0.88965,1.37222,1.32776,0.004555,0.004555,0.004555
57,4490.5,0.96008,2.13827,1.41002,0.95686,0.94494,0.96754,0.74297,0.89179,1.39293,1.32436,0.004456,0.004456,0.004456
58,4569.38,0.94294,2.10509,1.39815,0.94497,0.94197,0.96299,0.73791,0.89171,1.40576,1.33115,0.004357,0.004357,0.004357
59,4647.77,0.95703,2.1299,1.40844,0.95841,0.94228,0.96861,0.7507,0.87056,1.37156,1.31899,0.004258,0.004258,0.004258
60,4726.97,0.94959,2.12859,1.40333,0.95878,0.93277,0.96784,0.75173,0.8714,1.38705,1.31161,0.004159,0.004159,0.004159
61,4805.75,0.94998,2.13548,1.40425,0.95386,0.93974,0.96773,0.75657,0.86672,1.37074,1.32056,0.00406,0.00406,0.00406
62,4885.83,0.94151,2.10078,1.39962,0.95374,0.94587,0.96663,0.75241,0.87402,1.35395,1.32461,0.003961,0.003961,0.003961
63,4964.39,0.94498,2.08108,1.39469,0.95852,0.93523,0.96905,0.75131,0.89045,1.37756,1.33634,0.003862,0.003862,0.003862
64,5042.76,0.93276,2.05096,1.39077,0.94783,0.94055,0.96735,0.75261,0.87753,1.37611,1.32661,0.003763,0.003763,0.003763
65,5120.91,0.93078,2.05241,1.38779,0.94536,0.92782,0.96471,0.74945,0.87498,1.374,1.31676,0.003664,0.003664,0.003664
66,5199.1,0.9343,2.03536,1.38879,0.94991,0.94226,0.97145,0.75281,0.87056,1.35933,1.31015,0.003565,0.003565,0.003565
67,5278.13,0.92414,2.04611,1.38423,0.95381,0.93454,0.96895,0.7561,0.85724,1.3274,1.30552,0.003466,0.003466,0.003466
68,5356.35,0.92035,2.01377,1.38128,0.94903,0.94031,0.96795,0.75505,0.85825,1.3349,1.30569,0.003367,0.003367,0.003367
69,5434.7,0.91974,2.00044,1.38033,0.94844,0.94783,0.97154,0.75967,0.85061,1.32027,1.29737,0.003268,0.003268,0.003268
70,5513.92,0.91726,2.01662,1.37669,0.95304,0.9476,0.9731,0.76058,0.85671,1.31844,1.30492,0.003169,0.003169,0.003169
71,5592.93,0.91753,1.99213,1.37619,0.94873,0.94836,0.97249,0.75806,0.85479,1.30713,1.30326,0.00307,0.00307,0.00307
72,5672.14,0.91136,1.98853,1.37216,0.95974,0.93819,0.97386,0.76481,0.85025,1.30335,1.2994,0.002971,0.002971,0.002971
73,5751.33,0.90346,1.95152,1.3649,0.95286,0.95148,0.97729,0.76434,0.84611,1.29575,1.29921,0.002872,0.002872,0.002872
74,5829.51,0.91065,1.96461,1.37166,0.96287,0.94131,0.97758,0.76702,0.84061,1.28246,1.29059,0.002773,0.002773,0.002773
